date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:06:10	7780/7780	---M--	200	added ('OK')	text/html	etag:%224b67e2d44666d01:444%22	http://www.bridgemin.org/	C:/My%20Web%20Sites/BridgeMin/www.bridgemin.org/index.html	(from )
13:06:12	7780/7780	---M--	200	added ('OK')	text/html	etag:%224b67e2d44666d01:444%22	http://www.bridgemin.org/index.html	C:/My%20Web%20Sites/BridgeMin/www.bridgemin.org/index-2.html	(from http://www.bridgemin.org/)
13:06:12	7291/7291	---M--	200	added ('OK')	text/html	etag:%229c946c92aa6dd01:444%22	http://www.bridgemin.org/spiritualcare/index.html	C:/My%20Web%20Sites/BridgeMin/www.bridgemin.org/spiritualcare/index.html	(from http://www.bridgemin.org/)
13:06:13	48462/48462	---M--	200	added ('OK')	image/jpeg	etag:%22fcf1133caa6dd01:444%22	http://www.bridgemin.org/images/logobanner2014.jpg	C:/My%20Web%20Sites/BridgeMin/www.bridgemin.org/images/logobanner2014.jpg	(from http://www.bridgemin.org/)
13:06:13	6575/6575	---M--	200	added ('OK')	text/html	etag:%224956513ec53d01:444%22	http://www.bridgemin.org/mobility/index.html	C:/My%20Web%20Sites/BridgeMin/www.bridgemin.org/mobility/index.html	(from http://www.bridgemin.org/)
13:06:23	5791/5791	---M--	200	added ('OK')	text/html	etag:%22f4464d23e75cf1:444%22	http://www.bridgemin.org/Guardianship/index.html	C:/My%20Web%20Sites/BridgeMin/www.bridgemin.org/Guardianship/index.html	(from http://www.bridgemin.org/)
13:06:33	6036/6036	---M--	200	added ('OK')	text/html	etag:%2243aeb99c85abcf1:444%22	http://www.bridgemin.org/about/contact.html	C:/My%20Web%20Sites/BridgeMin/www.bridgemin.org/about/contact.html	(from http://www.bridgemin.org/)
13:06:43	7783/7783	---M--	200	added ('OK')	text/html	etag:%22d4ccfb1897fcf1:444%22	http://www.bridgemin.org/about/directions.html	C:/My%20Web%20Sites/BridgeMin/www.bridgemin.org/about/directions.html	(from http://www.bridgemin.org/)
13:06:43	7141/7141	---M--	200	added ('OK')	text/html	etag:%2228facdfc7a79d01:444%22	http://www.bridgemin.org/about/staff.html	C:/My%20Web%20Sites/BridgeMin/www.bridgemin.org/about/staff.html	(from http://www.bridgemin.org/)
13:06:44	10785/10785	---M--	200	added ('OK')	text/html	etag:%225d6be40a05ed01:444%22	http://www.bridgemin.org/about/board.html	C:/My%20Web%20Sites/BridgeMin/www.bridgemin.org/about/board.html	(from http://www.bridgemin.org/)
